SegmentDir,Month,Fatal,Serious,Slight
M1 J11a-12 SB,2019-07-01,0.0,0.0,2.0
M1 J11a-12 SB,2019-08-01,0.0,0.0,1.0
M1 J11a-12 SB,2019-12-01,1.0,0.0,0.0
M1 J11a-12 SB,2020-02-01,1.0,0.0,0.0
M1 J11a-12 SB,2020-04-01,0.0,1.0,0.0
M1 J11a-12 SB,2020-05-01,0.0,1.0,0.0
M1 J11a-12 SB,2021-04-01,0.0,0.0,1.0
M1 J11a-12 SB,2021-05-01,0.0,0.0,3.0
M1 J11a-12 SB,2021-06-01,0.0,0.0,1.0
M1 J11a-12 SB,2021-07-01,0.0,0.0,1.0
M1 J11a-12 SB,2021-08-01,0.0,0.0,1.0
M1 J11a-12 SB,2021-09-01,0.0,0.0,1.0
M1 J11a-12 SB,2021-12-01,0.0,0.0,1.0
M1 J12-13 NB,2013-04-01,0.0,0.0,1.0
M1 J12-13 NB,2013-06-01,0.0,0.0,1.0
M1 J12-13 NB,2013-07-01,0.0,0.0,5.0
M1 J12-13 NB,2013-08-01,0.0,0.0,1.0
M1 J12-13 NB,2013-09-01,0.0,0.0,1.0
M1 J12-13 NB,2013-10-01,0.0,1.0,2.0
M1 J12-13 NB,2013-11-01,0.0,1.0,3.0
M1 J12-13 NB,2014-01-01,0.0,0.0,1.0
M1 J12-13 NB,2014-03-01,0.0,0.0,3.0
M1 J12-13 NB,2014-04-01,0.0,0.0,5.0
M1 J12-13 NB,2014-05-01,0.0,0.0,2.0
M1 J12-13 NB,2014-08-01,0.0,0.0,2.0
M1 J12-13 NB,2014-09-01,0.0,0.0,1.0
M1 J12-13 NB,2014-10-01,0.0,0.0,4.0
M1 J12-13 NB,2014-11-01,0.0,0.0,1.0
M1 J12-13 NB,2014-12-01,0.0,0.0,1.0
M1 J12-13 NB,2015-02-01,1.0,0.0,1.0
M1 J12-13 NB,2015-04-01,0.0,0.0,2.0
M1 J12-13 NB,2015-06-01,0.0,0.0,3.0
M1 J12-13 NB,2015-11-01,0.0,0.0,2.0
M1 J12-13 NB,2015-12-01,0.0,1.0,2.0
M1 J12-13 NB,2016-01-01,0.0,0.0,1.0
M1 J12-13 NB,2016-02-01,0.0,0.0,1.0
M1 J12-13 NB,2016-06-01,0.0,0.0,3.0
M1 J12-13 NB,2016-07-01,0.0,0.0,1.0
M1 J12-13 NB,2016-08-01,0.0,0.0,1.0
M1 J12-13 NB,2016-10-01,0.0,1.0,0.0
M1 J12-13 NB,2016-11-01,0.0,0.0,2.0
M1 J12-13 NB,2016-12-01,0.0,0.0,3.0
M1 J12-13 NB,2017-02-01,0.0,0.0,1.0
M1 J12-13 NB,2017-03-01,0.0,0.0,2.0
M1 J12-13 NB,2017-04-01,0.0,0.0,1.0
M1 J12-13 NB,2017-05-01,0.0,0.0,2.0
M1 J12-13 NB,2017-06-01,0.0,0.0,2.0
